YYYY;MM;DD;fsca_full_watershed
2000;2;24;77.535
2000;2;25;77.59
2000;2;26;76.519
2000;2;27;77.175
2000;2;28;76.848
2000;2;29;77.529
2000;3;1;76.196
2000;3;2;75.792
2000;3;3;76.45
2000;3;4;76.526
2000;3;5;77.956
2000;3;6;77.108
2000;3;7;77.839
2000;3;8;78.24
2000;3;9;78.536
2000;3;10;82.599
2000;3;11;78.299
2000;3;12;82.571
2000;3;13;80.23
2000;3;14;79.887
2000;3;15;78.227
2000;3;16;65.262
2000;3;17;65.41
2000;3;18;65.501
2000;3;19;66.639
2000;3;20;66.279
2000;3;21;66.616
2000;3;22;66.269
2000;3;23;66.337
2000;3;24;64.798
2000;3;25;62.671
2000;3;26;54.556
2000;3;27;31.652
2000;3;28;28.385
2000;3;29;28.549
2000;3;30;28.516
2000;3;31;31.23
2000;4;1;31.276
2000;4;2;29.833
2000;4;3;30.895
2000;4;4;30.585
2000;4;5;31.685
2000;4;6;27.541
2000;4;7;25.222
2000;4;8;
2000;4;9;25.104
2000;4;10;23.785
2000;4;11;21.479
2000;4;12;21.369
2000;4;13;20.507
2000;4;14;20.309
2000;4;15;19.798
2000;4;16;19.187
2000;4;17;18.897
2000;4;18;18.064
2000;4;19;18.035
2000;4;20;17.777
2000;4;21;17.475
2000;4;22;17.339
2000;4;23;17.107
2000;4;24;16.956
2000;4;25;16.772
2000;4;26;16.47
2000;4;27;16.527
2000;4;28;15.906
2000;4;29;16.83
2000;4;30;15.74
2000;5;1;16.361
2000;5;2;16.639
2000;5;3;13.135
2000;5;4;13.009
2000;5;5;12.713
2000;5;6;13.05
2000;5;7;11.421
2000;5;8;8.402
2000;5;9;7.399
2000;5;10;7.578
2000;5;11;7.317
2000;5;12;6.037
2000;5;13;6.102
2000;5;14;6.268
2000;5;15;6.261
2000;5;16;6.283
2000;5;17;6.233
2000;5;18;6.206
2000;5;19;6.371
2000;5;20;6.234
2000;5;21;6.13
2000;5;22;6.153
2000;5;23;6.132
2000;5;24;6.188
2000;5;25;5.767
2000;5;26;5.599
2000;5;27;5.562
2000;5;28;5.538
2000;5;29;5.535
2000;5;30;5.534
2000;5;31;5.498
2000;6;1;5.363
2000;6;2;5.349
2000;6;3;5.306
2000;6;4;5.326
2000;6;5;5.203
2000;6;6;5.338
2000;6;7;5.308
2000;6;8;5.29
2000;6;9;4.958
2000;6;10;4.902
2000;6;11;4.844
2000;6;12;4.729
2000;6;13;4.803
2000;6;14;4.733
2000;6;15;4.739
2000;6;16;4.475
2000;6;17;4.39
2000;6;18;4.338
2000;6;19;4.295
2000;6;20;4.134
2000;6;21;4.054
2000;6;22;4.074
2000;6;23;4.03
2000;6;24;3.997
2000;6;25;3.821
2000;6;26;3.668
2000;6;27;3.318
2000;6;28;3.103
2000;6;29;2.947
2000;6;30;2.98
2000;7;1;2.825
2000;7;2;2.669
2000;7;3;2.672
2000;7;4;2.615
2000;7;5;2.511
2000;7;6;2.324
2000;7;7;2.174
2000;7;8;2.054
2000;7;9;1.965
2000;7;10;1.924
2000;7;11;1.918
2000;7;12;1.914
2000;7;13;1.924
2000;7;14;1.903
2000;7;15;1.805
2000;7;16;1.792
2000;7;17;1.876
2000;7;18;1.866
2000;7;19;1.811
2000;7;20;1.632
2000;7;21;1.639
