YYYY;MM;DD;fsca_full_watershed
2000;2;24;71.44
2000;2;25;71.46
2000;2;26;71.317
2000;2;27;71.541
2000;2;28;71.211
2000;2;29;71.579
2000;3;1;71.761
2000;3;2;71.639
2000;3;3;71.795
2000;3;4;71.793
2000;3;5;72.014
2000;3;6;72.61
2000;3;7;73.265
2000;3;8;72.815
2000;3;9;72.663
2000;3;10;73.995
2000;3;11;72.714
2000;3;12;72.669
2000;3;13;71.757
2000;3;14;72.181
2000;3;15;72.032
2000;3;16;66.36
2000;3;17;66.289
2000;3;18;66.296
2000;3;19;67.064
2000;3;20;67.135
2000;3;21;67.128
2000;3;22;67.052
2000;3;23;67.537
2000;3;24;76.063
2000;3;25;76.705
2000;3;26;79.606
2000;3;27;79.998
2000;3;28;80.23
2000;3;29;80.91
2000;3;30;80.251
2000;3;31;79.919
2000;4;1;80.358
2000;4;2;80.065
2000;4;3;80.06
2000;4;4;79.882
2000;4;5;79.501
2000;4;6;78.551
2000;4;7;78.325
2000;4;8;
2000;4;9;77.663
2000;4;10;77.681
2000;4;11;78.737
2000;4;12;80.559
2000;4;13;82.346
2000;4;14;83.347
2000;4;15;83.785
2000;4;16;84.544
2000;4;17;84.943
2000;4;18;85.693
2000;4;19;85.513
2000;4;20;85.673
2000;4;21;85.784
2000;4;22;85.864
2000;4;23;86.192
2000;4;24;85.982
2000;4;25;86.373
2000;4;26;86.389
2000;4;27;86.092
2000;4;28;86.756
2000;4;29;87.162
2000;4;30;86.626
2000;5;1;85.788
2000;5;2;85.485
2000;5;3;85.769
2000;5;4;85.657
2000;5;5;74.925
2000;5;6;74.07
2000;5;7;91.461
2000;5;8;90.048
2000;5;9;90.08
2000;5;10;90.105
2000;5;11;89.914
2000;5;12;90.953
2000;5;13;89.412
2000;5;14;88.725
2000;5;15;88.491
2000;5;16;88.092
2000;5;17;87.819
2000;5;18;84.703
2000;5;19;83.346
2000;5;20;82.354
2000;5;21;81.867
2000;5;22;81.559
2000;5;23;81.549
2000;5;24;81.327
2000;5;25;79.787
2000;5;26;75.756
2000;5;27;76.371
2000;5;28;74.651
2000;5;29;74.625
2000;5;30;74.645
2000;5;31;68.24
2000;6;1;68.135
2000;6;2;63.77
2000;6;3;59.787
2000;6;4;58.74
2000;6;5;55.672
2000;6;6;52.486
2000;6;7;50.706
2000;6;8;32.949
2000;6;9;31.316
2000;6;10;28.67
2000;6;11;27.963
2000;6;12;27.577
2000;6;13;28.94
2000;6;14;27.361
2000;6;15;25.828
2000;6;16;22.607
2000;6;17;20.589
2000;6;18;17.369
2000;6;19;12.391
2000;6;20;10.815
2000;6;21;11.969
2000;6;22;10.682
2000;6;23;9.797
2000;6;24;10.099
2000;6;25;9.128
2000;6;26;7.188
2000;6;27;5.626
2000;6;28;4.617
2000;6;29;4.257
2000;6;30;4.252
2000;7;1;3.859
2000;7;2;4.194
2000;7;3;3.494
2000;7;4;2.729
2000;7;5;2.281
